"STATISTIC","Statistic","TLIST(Q1)","Quarter","C01855V02284","Port","C01713V02044","Region of Trade","UNIT","VALUE"
"TBQ05C01","Goods Handled","20171","2017Q1","IEMIP","All Main Irish Ports","-","All regions of trade","000 Tonnes","12900"
"TBQ05C01","Goods Handled","20171","2017Q1","IEMIP","All Main Irish Ports","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","5029"
"TBQ05C01","Goods Handled","20171","2017Q1","IEMIP","All Main Irish Ports","2","Foreign trade: Other EU","000 Tonnes","3952"
"TBQ05C01","Goods Handled","20171","2017Q1","IEMIP","All Main Irish Ports","3","Foreign trade: Non-EU","000 Tonnes","1295"
"TBQ05C01","Goods Handled","20171","2017Q1","IEMIP","All Main Irish Ports","4","Foreign trade: Other ports","000 Tonnes","2391"
"TBQ05C01","Goods Handled","20171","2017Q1","IEMIP","All Main Irish Ports","5","Coastal trade","000 Tonnes","232"
"TBQ05C01","Goods Handled","20171","2017Q1","IEBYT","Bantry Bay","-","All regions of trade","000 Tonnes","141"
"TBQ05C01","Goods Handled","20171","2017Q1","IEBYT","Bantry Bay","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","76"
"TBQ05C01","Goods Handled","20171","2017Q1","IEBYT","Bantry Bay","2","Foreign trade: Other EU","000 Tonnes",""
"TBQ05C01","Goods Handled","20171","2017Q1","IEBYT","Bantry Bay","3","Foreign trade: Non-EU","000 Tonnes",""
"TBQ05C01","Goods Handled","20171","2017Q1","IEBYT","Bantry Bay","4","Foreign trade: Other ports","000 Tonnes","65"
"TBQ05C01","Goods Handled","20171","2017Q1","IEBYT","Bantry Bay","5","Coastal trade","000 Tonnes",""
"TBQ05C01","Goods Handled","20171","2017Q1","IEDRO","Drogheda","-","All regions of trade","000 Tonnes","299"
"TBQ05C01","Goods Handled","20171","2017Q1","IEDRO","Drogheda","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","56"
"TBQ05C01","Goods Handled","20171","2017Q1","IEDRO","Drogheda","2","Foreign trade: Other EU","000 Tonnes","218"
"TBQ05C01","Goods Handled","20171","2017Q1","IEDRO","Drogheda","3","Foreign trade: Non-EU","000 Tonnes","12"
"TBQ05C01","Goods Handled","20171","2017Q1","IEDRO","Drogheda","4","Foreign trade: Other ports","000 Tonnes","8"
"TBQ05C01","Goods Handled","20171","2017Q1","IEDRO","Drogheda","5","Coastal trade","000 Tonnes","4"
"TBQ05C01","Goods Handled","20171","2017Q1","IEDUB","Dublin","-","All regions of trade","000 Tonnes","6014"
"TBQ05C01","Goods Handled","20171","2017Q1","IEDUB","Dublin","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","3915"
"TBQ05C01","Goods Handled","20171","2017Q1","IEDUB","Dublin","2","Foreign trade: Other EU","000 Tonnes","1796"
"TBQ05C01","Goods Handled","20171","2017Q1","IEDUB","Dublin","3","Foreign trade: Non-EU","000 Tonnes","140"
"TBQ05C01","Goods Handled","20171","2017Q1","IEDUB","Dublin","4","Foreign trade: Other ports","000 Tonnes","145"
"TBQ05C01","Goods Handled","20171","2017Q1","IEDUB","Dublin","5","Coastal trade","000 Tonnes","18"
"TBQ05C01","Goods Handled","20171","2017Q1","IEFOV","Shannon Foynes","-","All regions of trade","000 Tonnes","3127"
"TBQ05C01","Goods Handled","20171","2017Q1","IEFOV","Shannon Foynes","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","255"
"TBQ05C01","Goods Handled","20171","2017Q1","IEFOV","Shannon Foynes","2","Foreign trade: Other EU","000 Tonnes","798"
"TBQ05C01","Goods Handled","20171","2017Q1","IEFOV","Shannon Foynes","3","Foreign trade: Non-EU","000 Tonnes","158"
"TBQ05C01","Goods Handled","20171","2017Q1","IEFOV","Shannon Foynes","4","Foreign trade: Other ports","000 Tonnes","1828"
"TBQ05C01","Goods Handled","20171","2017Q1","IEFOV","Shannon Foynes","5","Coastal trade","000 Tonnes","87"
"TBQ05C01","Goods Handled","20171","2017Q1","IEORK","Cork","-","All regions of trade","000 Tonnes","2345"
"TBQ05C01","Goods Handled","20171","2017Q1","IEORK","Cork","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","294"
"TBQ05C01","Goods Handled","20171","2017Q1","IEORK","Cork","2","Foreign trade: Other EU","000 Tonnes","699"
"TBQ05C01","Goods Handled","20171","2017Q1","IEORK","Cork","3","Foreign trade: Non-EU","000 Tonnes","929"
"TBQ05C01","Goods Handled","20171","2017Q1","IEORK","Cork","4","Foreign trade: Other ports","000 Tonnes","309"
"TBQ05C01","Goods Handled","20171","2017Q1","IEORK","Cork","5","Coastal trade","000 Tonnes","113"
"TBQ05C01","Goods Handled","20171","2017Q1","IEROS","Rosslare","-","All regions of trade","000 Tonnes","528"
"TBQ05C01","Goods Handled","20171","2017Q1","IEROS","Rosslare","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","423"
"TBQ05C01","Goods Handled","20171","2017Q1","IEROS","Rosslare","2","Foreign trade: Other EU","000 Tonnes","105"
"TBQ05C01","Goods Handled","20171","2017Q1","IEROS","Rosslare","3","Foreign trade: Non-EU","000 Tonnes",""
"TBQ05C01","Goods Handled","20171","2017Q1","IEROS","Rosslare","4","Foreign trade: Other ports","000 Tonnes",""
"TBQ05C01","Goods Handled","20171","2017Q1","IEROS","Rosslare","5","Coastal trade","000 Tonnes",""
"TBQ05C01","Goods Handled","20171","2017Q1","IEWAT","Waterford","-","All regions of trade","000 Tonnes","447"
"TBQ05C01","Goods Handled","20171","2017Q1","IEWAT","Waterford","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","10"
"TBQ05C01","Goods Handled","20171","2017Q1","IEWAT","Waterford","2","Foreign trade: Other EU","000 Tonnes","337"
"TBQ05C01","Goods Handled","20171","2017Q1","IEWAT","Waterford","3","Foreign trade: Non-EU","000 Tonnes","55"
"TBQ05C01","Goods Handled","20171","2017Q1","IEWAT","Waterford","4","Foreign trade: Other ports","000 Tonnes","36"
"TBQ05C01","Goods Handled","20171","2017Q1","IEWAT","Waterford","5","Coastal trade","000 Tonnes","10"
"TBQ05C01","Goods Handled","20172","2017Q2","IEMIP","All Main Irish Ports","-","All regions of trade","000 Tonnes","12496"
"TBQ05C01","Goods Handled","20172","2017Q2","IEMIP","All Main Irish Ports","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","5404"
"TBQ05C01","Goods Handled","20172","2017Q2","IEMIP","All Main Irish Ports","2","Foreign trade: Other EU","000 Tonnes","4144"
"TBQ05C01","Goods Handled","20172","2017Q2","IEMIP","All Main Irish Ports","3","Foreign trade: Non-EU","000 Tonnes","662"
"TBQ05C01","Goods Handled","20172","2017Q2","IEMIP","All Main Irish Ports","4","Foreign trade: Other ports","000 Tonnes","2025"
"TBQ05C01","Goods Handled","20172","2017Q2","IEMIP","All Main Irish Ports","5","Coastal trade","000 Tonnes","260"
"TBQ05C01","Goods Handled","20172","2017Q2","IEBYT","Bantry Bay","-","All regions of trade","000 Tonnes","191"
"TBQ05C01","Goods Handled","20172","2017Q2","IEBYT","Bantry Bay","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes",""
"TBQ05C01","Goods Handled","20172","2017Q2","IEBYT","Bantry Bay","2","Foreign trade: Other EU","000 Tonnes","57"
"TBQ05C01","Goods Handled","20172","2017Q2","IEBYT","Bantry Bay","3","Foreign trade: Non-EU","000 Tonnes",""
"TBQ05C01","Goods Handled","20172","2017Q2","IEBYT","Bantry Bay","4","Foreign trade: Other ports","000 Tonnes","134"
"TBQ05C01","Goods Handled","20172","2017Q2","IEBYT","Bantry Bay","5","Coastal trade","000 Tonnes",""
"TBQ05C01","Goods Handled","20172","2017Q2","IEDRO","Drogheda","-","All regions of trade","000 Tonnes","306"
"TBQ05C01","Goods Handled","20172","2017Q2","IEDRO","Drogheda","1","Foreign trade: Great Britain and Northern Ireland","000 Tonnes","77"
"TBQ05C01","Goods Handled","20172","2017Q2","IEDRO","Drogheda","2","Foreign trade: Other EU","000 Tonnes","213"
"TBQ05C01","Goods Handled","20172","2017Q2","IEDRO","Drogheda","3","Foreign trade: Non-EU","000 Tonnes","13"
"TBQ05C01","Goods Handled","20172","2017Q2","IEDRO","Drogheda","4","Foreign trade: Other ports","000 Tonnes","3"
"TBQ05C01","Goods Handled","20172","2017Q2","IEDRO","Drogheda","5","Coastal trade","000 Tonnes",""
"TBQ05C01","Goods Handled","20172","2017Q2","IEDUB","Dublin","-","All regions of trade","000 Tonnes","6256"
